"ENTITY_NM_ID","ENTITY_ID","NM_TYP_CD","FIRST_NM","MIDDLE_NM","LAST_NM","SUFFIX_NM","TITLE_NM","DFLT_IND","ACTV_IND","OBJ_ID","VER_NBR"
"KC10028","KC10028","PRFR","RAFAEL","","MCINTYRE","","","Y","Y","AAE016CCF3C75107E040DC0A1F8A7C64","1"
"KC10029","KC10029","PRFR","EMORY","","EAGLE","","","Y","Y","AAE016CCF3C95107E040DC0A1F8A7C64","1"
"KC10030","KC10030","PRFR","MITZI","","POND","","","Y","Y","AAE016CCF3CB5107E040DC0A1F8A7C64","1"
"KC10031","KC10031","PRFR","ANGELICA","","FLAHERTY","","","Y","Y","AAE016CCF3CD5107E040DC0A1F8A7C64","1"
"KC10032","KC10032","PRFR","MASON","","KOSS","","","Y","Y","AAE016CCF3CF5107E040DC0A1F8A7C64","1"
"KC10033","KC10033","PRFR","ORA","","MCEACHERN","","","Y","Y","AAE016CCF3D15107E040DC0A1F8A7C64","1"
"KC10034","KC10034","PRFR","WM","","ACUNA","","","Y","Y","AAE016CCF3D35107E040DC0A1F8A7C64","1"
"KC10035","KC10035","PRFR","MARITZA","","SCHULTE","","","Y","Y","AAE016CCF3D55107E040DC0A1F8A7C64","1"
"KC10036","KC10036","PRFR","OLIVER","","DEVRIES","","","Y","Y","AAE016CCF3D75107E040DC0A1F8A7C64","1"
"KC10037","KC10037","PRFR","DARREN","","DEVANEY","","","Y","Y","AAE016CCF3D95107E040DC0A1F8A7C64","1"
"KC10038","KC10038","PRFR","PAULETTE","","SMOCK","","","Y","Y","AAE016CCF3DB5107E040DC0A1F8A7C64","1"
"KC10039","KC10039","PRFR","LOGAN","","CLINKSCALES","","","Y","Y","AAE016CCF3DD5107E040DC0A1F8A7C64","1"
"KC10040","KC10040","PRFR","ANTWAN","","BRUNELLE","","","Y","Y","AAE016CCF3DF5107E040DC0A1F8A7C64","1"
"KC10041","KC10041","PRFR","CONCETTA","","BERNAL","","","Y","Y","AAE016CCF3E15107E040DC0A1F8A7C64","1"
"KC10042","KC10042","PRFR","BARBRA","","BORST","","","Y","Y","AAE016CCF3E35107E040DC0A1F8A7C64","1"
"KC10043","KC10043","PRFR","WALLACE","","SOILEAU","","","Y","Y","AAE016CCF3E55107E040DC0A1F8A7C64","1"
"KC10044","KC10044","PRFR","ALTHEA","","BURD","","","Y","Y","AAE016CCF3E75107E040DC0A1F8A7C64","1"
"KC10045","KC10045","PRFR","LOUELLA","","ENGEL","","","Y","Y","AAE016CCF3E95107E040DC0A1F8A7C64","1"
"KC10046","KC10046","PRFR","FAYE","","HEADLEY","","","Y","Y","AAE016CCF3EB5107E040DC0A1F8A7C64","1"
"KC10047","KC10047","PRFR","RONDA","","GAILEY","","","Y","Y","AAE016CCF3ED5107E040DC0A1F8A7C64","1"
"KC10048","KC10048","PRFR","IVAN","","SHIELDS","","","Y","Y","AAE016CCF3EF5107E040DC0A1F8A7C64","1"
"KC10049","KC10049","PRFR","OLIVER","","ELGIN","","","Y","Y","AAE016CCF3F15107E040DC0A1F8A7C64","1"
"KC10050","KC10050","PRFR","BEATRIZ","","BOMAN","","","Y","Y","AAE016CCF3F35107E040DC0A1F8A7C64","1"
"KC10051","KC10051","PRFR","TREVOR","","DUGGINS","","","Y","Y","AAE016CCF3F55107E040DC0A1F8A7C64","1"
"KC10052","KC10052","PRFR","KELLY","","OWENS","","","Y","Y","AAE016CCF3F75107E040DC0A1F8A7C64","1"
"KC10053","KC10053","PRFR","NOELLE","","DARR","","","Y","Y","AAE016CCF3F95107E040DC0A1F8A7C64","1"
"KC10054","KC10054","PRFR","CECILE","","CARY","","","Y","Y","AAE016CCF3FB5107E040DC0A1F8A7C64","1"
"KC10055","KC10055","PRFR","CHARITY","","MCBEE","","","Y","Y","AAE016CCF3FD5107E040DC0A1F8A7C64","1"
"KC10056","KC10056","PRFR","DAMON","","RALSTON","","","Y","Y","AAE016CCF3FF5107E040DC0A1F8A7C64","1"
"KC10057","KC10057","PRFR","MERRILL","","MARTIN","","","Y","Y","AAE016CCF4015107E040DC0A1F8A7C64","1"
"KC10058","KC10058","PRFR","Roger","","Rabbit","","","Y","Y","AAE016CCF4035107E040DC0A1F8A7C64","1"
"KC10059","KC10059","PRFR","Award","","Viewer","","","Y","Y","AAE016CCF4055107E040DC0A1F8A7C64","1"
"KC10060","KC10060","PRFR","Award Doc","","Viewer","","","Y","Y","AAE016CCF4075107E040DC0A1F8A7C64","1"
"KC10061","KC10061","PRFR","Award Budget","","Viewer","","","Y","Y","AAE016CCF4095107E040DC0A1F8A7C64","1"
"KC10062","KC10062","PRFR","Institutional Proposal","","Viewer","","","Y","Y","AAE016CCF40B5107E040DC0A1F8A7C64","1"
"KC10063","KC10063","PRFR","Andrew","","Slusar","","","Y","Y","AAE016CCF40D5107E040DC0A1F8A7C64","1"
"KC10064","KC10064","PRFR","Terry","","Durkin","","","Y","Y","AAE016CCF40F5107E040DC0A1F8A7C64","1"
"KC10065","KC10065","PRFR","Application","","Administrator","","","Y","Y","AAE016CCF4115107E040DC0A1F8A7C64","1"
"KC10066","KC10066","PRFR","AwardBudget","","Approver","","","Y","Y","AAE016CCF4135107E040DC0A1F8A7C64","1"
"KC10067","KC10067","PRFR","Award","","Modifier","","","Y","Y","AAE016CCF4155107E040DC0A1F8A7C64","1"
"KC10068","KC10068","PRFR","AwardBudget","","Administrator","","","Y","Y","AAE016CCF4175107E040DC0A1F8A7C64","1"
"KC10069","KC10069","PRFR","OSP","","Administrator","","","Y","Y","AAE016CCF4195107E040DC0A1F8A7C64","1"
"KC10070","KC10070","PRFR","AwardBudget","","Aggregator","","","Y","Y","AAE016CCF41B5107E040DC0A1F8A7C64","1"
"KC10071","KC10071","PRFR","AwardBudget","","Maintainer","","","Y","Y","AAE016CCF41D5107E040DC0A1F8A7C64","1"
"KC10072","KC10072","PRFR","AwardDoc","","Maintainer","","","Y","Y","AAE016CCF41F5107E040DC0A1F8A7C64","1"
"KC10073","KC10073","PRFR","AwardBudget","","Modifier","","","Y","Y","AAE016CCF4215107E040DC0A1F8A7C64","1"
"KC10074","KC10074","PRFR","DeptAward","","Viewer","","","Y","Y","AAE016CCF4235107E040DC0A1F8A7C64","1"
"KC10075","KC10075","PRFR","Template","","Viewer","","","Y","Y","AAE016CCF4255107E040DC0A1F8A7C64","1"
"KC10076","KC10076","PRFR","IRB","","Admin","","","Y","Y","AAE016CCF4275107E040DC0A1F8A7C64","1"
"KC10077","KC10077","PRFR","IRB","","AdminCardiology","","","Y","Y","AAE016CCF4295107E040DC0A1F8A7C64","1"
"KC10078","KC10078","PRFR","IRB","","Aggregator","","","Y","Y","AAE016CCF42B5107E040DC0A1F8A7C64","1"
"KC10079","KC10079","PRFR","IRB","","Create","","","Y","Y","AAE016CCF42D5107E040DC0A1F8A7C64","1"
"KC10080","KC10080","PRFR","IRB","","Researcher","","","Y","Y","AAE016CCF42F5107E040DC0A1F8A7C64","1"
"KC10081","KC10081","PRFR","IRB","","Reviewer","","","Y","Y","AAE016CCF4315107E040DC0A1F8A7C64","1"
"KC10082","KC10082","PRFR","IRB","","Viewer","","","Y","Y","AAE016CCF4335107E040DC0A1F8A7C64","1"
