"ENTITY_EMP_ID","ENTITY_ID","ENTITY_AFLTN_ID","EMP_STAT_CD","EMP_TYP_CD","PRMRY_IND","ACTV_IND","PRMRY_DEPT_CD","EMP_ID","EMP_REC_ID","OBJ_ID","VER_NBR","BASE_SLRY_AMT"
"KC10015","KC10015","KC10015",NULL,NULL,"Y","Y","000001","jckahler","1","CB413568ABD7AB48E040DC0A1F8A4434",1,100000.00
"KC10016","KC10016","KC10016",NULL,NULL,"Y","Y","000001","byler","1","CB413568ABD8AB48E040DC0A1F8A4434",1,100000.00
"KC10017","KC10017","KC10017",NULL,NULL,"Y","Y","000001","aemcafee","1","CB413568ABD9AB48E040DC0A1F8A4434",1,100000.00
"KC10018","KC10018","KC10018",NULL,NULL,"Y","Y","000001","westfall","1","CB413568ABDAAB48E040DC0A1F8A4434",1,100000.00
"KC10019","KC10019","KC10019",NULL,NULL,"Y","Y","000001","bbshankl","1","CB413568ABDBAB48E040DC0A1F8A4434",1,100000.00
"KC10020","KC10020","KC10020",NULL,NULL,"Y","Y","000001","ferland","1","CB413568ABDCAB48E040DC0A1F8A4434",1,100000.00
"KC10021","KC10021","KC10021",NULL,NULL,"Y","Y","000001","khcrabtr","1","CB413568ABDDAB48E040DC0A1F8A4434",1,100000.00
"KC10022","KC10022","KC10022",NULL,NULL,"Y","Y","000001","felker","1","CB413568ABDEAB48E040DC0A1F8A4434",1,100000.00
"KC10023","KC10023","KC10023",NULL,NULL,"Y","Y","000001","martin","1","CB413568ABDFAB48E040DC0A1F8A4434",1,100000.00
"KC10024","KC10024","KC10024",NULL,NULL,"Y","Y","000001","sterner","1","CB413568ABE0AB48E040DC0A1F8A4434",1,100000.00
"KC10025","KC10025","KC10025",NULL,NULL,"Y","Y","000001","chbayles","1","CB413568ABE1AB48E040DC0A1F8A4434",1,100000.00
"KC10026","KC10026","KC10026",NULL,NULL,"Y","Y","000001","tmkato","1","CB413568ABE2AB48E040DC0A1F8A4434",1,100000.00
"KC10027","KC10027","KC10027",NULL,NULL,"Y","Y","000001","cphovis","1","CB413568ABE3AB48E040DC0A1F8A4434",1,100000.00
"KC10028","KC10028","KC10028",NULL,NULL,"Y","Y","000001","rnmcinty","1","CB413568ABE4AB48E040DC0A1F8A4434",1,100000.00
"KC10029","KC10029","KC10029",NULL,NULL,"Y","Y","000001","eagle","1","CB413568ABE5AB48E040DC0A1F8A4434",1,100000.00
"KC10030","KC10030","KC10030",NULL,NULL,"Y","Y","000001","mjpond","1","CB413568ABE6AB48E040DC0A1F8A4434",1,100000.00
"KC10031","KC10031","KC10031",NULL,NULL,"Y","Y","000001","flaherty","1","CB413568ABE7AB48E040DC0A1F8A4434",1,100000.00
"KC10032","KC10032","KC10032",NULL,NULL,"Y","Y","000001","mukoss","1","CB413568ABE8AB48E040DC0A1F8A4434",1,100000.00
"KC10033","KC10033","KC10033",NULL,NULL,"Y","Y","000001","mceacher","1","CB413568ABE9AB48E040DC0A1F8A4434",1,100000.00
"KC10034","KC10034","KC10034",NULL,NULL,"Y","Y","000001","wacuna","1","CB413568ABEAAB48E040DC0A1F8A4434",1,100000.00
"KC10035","KC10035","KC10035",NULL,NULL,"Y","Y","000001","schulte","1","CB413568ABEBAB48E040DC0A1F8A4434",1,100000.00
"KC10036","KC10036","KC10036",NULL,NULL,"Y","Y","000001","odevries","1","CB413568ABECAB48E040DC0A1F8A4434",1,100000.00
"KC10037","KC10037","KC10037",NULL,NULL,"Y","Y","000001","dxdevane","1","CB413568ABEDAB48E040DC0A1F8A4434",1,100000.00
"KC10038","KC10038","KC10038",NULL,NULL,"Y","Y","000001","psmock","1","CB413568ABEEAB48E040DC0A1F8A4434",1,100000.00
"KC10039","KC10039","KC10039",NULL,NULL,"Y","Y","000001","lvclinks","1","CB413568ABEFAB48E040DC0A1F8A4434",1,100000.00
"KC10040","KC10040","KC10040",NULL,NULL,"Y","Y","000001","brunelle","1","CB413568ABF0AB48E040DC0A1F8A4434",1,100000.00
"KC10041","KC10041","KC10041",NULL,NULL,"Y","Y","000001","cbernal","1","CB413568ABF1AB48E040DC0A1F8A4434",1,100000.00
"KC10042","KC10042","KC10042",NULL,NULL,"Y","Y","000001","borst","1","CB413568ABF2AB48E040DC0A1F8A4434",1,100000.00
"KC10043","KC10043","KC10043",NULL,NULL,"Y","Y","000001","wsoileau","1","CB413568ABF3AB48E040DC0A1F8A4434",1,100000.00
"KC10044","KC10044","KC10044",NULL,NULL,"Y","Y","000001","burd","1","CB413568ABF4AB48E040DC0A1F8A4434",1,100000.00
"KC10045","KC10045","KC10045",NULL,NULL,"Y","Y","000001","engel","1","CB413568ABF5AB48E040DC0A1F8A4434",1,100000.00
"KC10046","KC10046","KC10046",NULL,NULL,"Y","Y","000001","headley","1","CB413568ABF6AB48E040DC0A1F8A4434",1,100000.00
"KC10047","KC10047","KC10047",NULL,NULL,"Y","Y","000001","rpgailey","1","CB413568ABF7AB48E040DC0A1F8A4434",1,100000.00
"KC10048","KC10048","KC10048",NULL,NULL,"Y","Y","000001","shields","1","CB413568ABF8AB48E040DC0A1F8A4434",1,100000.00
"KC10049","KC10049","KC10049",NULL,NULL,"Y","Y","000001","elgin","1","CB413568ABF9AB48E040DC0A1F8A4434",1,100000.00
"KC10050","KC10050","KC10050",NULL,NULL,"Y","Y","000001","boman","1","CB413568ABFAAB48E040DC0A1F8A4434",1,100000.00
"KC10051","KC10051","KC10051",NULL,NULL,"Y","Y","000001","duggins","1","CB413568ABFBAB48E040DC0A1F8A4434",1,100000.00
"KC10052","KC10052","KC10052",NULL,NULL,"Y","Y","000001","khowens","1","CB413568ABFCAB48E040DC0A1F8A4434",1,100000.00
"KC10053","KC10053","KC10053",NULL,NULL,"Y","Y","000001","ndarr","1","CB413568ABFDAB48E040DC0A1F8A4434",1,100000.00
"KC10054","KC10054","KC10054",NULL,NULL,"Y","Y","000001","cary","1","CB413568ABFEAB48E040DC0A1F8A4434",1,100000.00
"KC10055","KC10055","KC10055",NULL,NULL,"Y","Y","000001","clmcbee","1","CB413568ABFFAB48E040DC0A1F8A4434",1,100000.00
"KC10056","KC10056","KC10056",NULL,NULL,"Y","Y","000001","ralston","1","CB413568AC00AB48E040DC0A1F8A4434",1,100000.00
"KC10057","KC10057","KC10057",NULL,NULL,"Y","Y","000001","mwmartin","1","CB413568AC01AB48E040DC0A1F8A4434",1,100000.00
"KC10058","KC10058",NULL,NULL,NULL,"Y","Y",NULL,"rrabbit","1","CB413568AC02AB48E040DC0A1F8A4434",1,100000.00
"KC10059","KC10059",NULL,NULL,NULL,"Y","Y","000001","awdviewer","1","CB413568AC03AB48E040DC0A1F8A4434",1,100000.00
"KC10060","KC10060",NULL,NULL,NULL,"Y","Y","000001","awddocviewer","1","CB413568AC04AB48E040DC0A1F8A4434",1,100000.00
"KC10061","KC10061",NULL,NULL,NULL,"Y","Y","000001","awdbudviewer","1","CB413568AC05AB48E040DC0A1F8A4434",1,100000.00
"KC10062","KC10062",NULL,NULL,NULL,"Y","Y","000001","ipviewer","1","CB413568AC06AB48E040DC0A1F8A4434",1,100000.00
"KC10063","KC10063",NULL,NULL,NULL,"Y","Y","000001","aslusar","1","CB413568AC07AB48E040DC0A1F8A4434",1,100000.00
"KC10064","KC10064",NULL,NULL,NULL,"Y","Y","000001","tdurkin","1","CB413568AC08AB48E040DC0A1F8A4434",1,100000.00
"KC10065","KC10065",NULL,NULL,NULL,"Y","Y","000001","appadmin","1","CB413568AC09AB48E040DC0A1F8A4434",1,100000.00
"KC10066","KC10066",NULL,NULL,NULL,"Y","Y","000001","awdbudapprover","1","CB413568AC0AAB48E040DC0A1F8A4434",1,100000.00
"KC10067","KC10067",NULL,NULL,NULL,"Y","Y","000001","awdmodifier","1","CB413568AC0BAB48E040DC0A1F8A4434",1,100000.00
"KC10068","KC10068",NULL,NULL,NULL,"Y","Y","000001","awdbudadmin","1","CB413568AC0CAB48E040DC0A1F8A4434",1,100000.00
"KC10069","KC10069",NULL,NULL,NULL,"Y","Y","000001","ospadmin","1","CB413568AC0DAB48E040DC0A1F8A4434",1,100000.00
"KC10070","KC10070",NULL,NULL,NULL,"Y","Y","000001","awdbudaggregator","1","CB413568AC0EAB48E040DC0A1F8A4434",1,100000.00
"KC10071","KC10071",NULL,NULL,NULL,"Y","Y","000001","awdbudmaintainer","1","CB413568AC0FAB48E040DC0A1F8A4434",1,100000.00
"KC10072","KC10072",NULL,NULL,NULL,"Y","Y","000001","awddocmaintainer","1","CB413568AC10AB48E040DC0A1F8A4434",1,100000.00
"KC10073","KC10073",NULL,NULL,NULL,"Y","Y","000001","awdbudmodifier","1","CB413568AC11AB48E040DC0A1F8A4434",1,100000.00
"KC10074","KC10074",NULL,NULL,NULL,"Y","Y","000001","deptawdviewer","1","CB413568AC12AB48E040DC0A1F8A4434",1,100000.00
"KC10075","KC10075",NULL,NULL,NULL,"Y","Y","000001","tempviewer","1","CB413568AC13AB48E040DC0A1F8A4434",1,100000.00
"KC10076","KC10076",NULL,NULL,NULL,"Y","Y","000001","irbadmin","1","CB413568AC14AB48E040DC0A1F8A4434",1,100000.00
"KC10077","KC10077",NULL,NULL,NULL,"Y","Y","IN-CARD","irbadmin-card","1","CB413568AC15AB48E040DC0A1F8A4434",1,100000.00
"KC10078","KC10078",NULL,NULL,NULL,"Y","Y","IN-CARD","irbaggregator","1","CB413568AC16AB48E040DC0A1F8A4434",1,100000.00
"KC10079","KC10079",NULL,NULL,NULL,"Y","Y","IN-CARD","irbcreate","1","CB413568AC17AB48E040DC0A1F8A4434",1,100000.00
"KC10080","KC10080",NULL,NULL,NULL,"Y","Y","IN-CARD","irbresearcher","1","CB413568AC18AB48E040DC0A1F8A4434",1,100000.00
"KC10081","KC10081",NULL,NULL,NULL,"Y","Y","IN-CARD","irbreviewer","1","CB413568AC19AB48E040DC0A1F8A4434",1,100000.00
"KC10082","KC10082",NULL,NULL,NULL,"Y","Y","IN-CARD","irbviewer","1","CB413568AC1AAB48E040DC0A1F8A4434",1,100000.00
"KC10083","KC10083",NULL,NULL,NULL,"Y","Y","000001","awddocviewer","1","CB413568AE66AB48E040DC0A1F8A4434",1,100000.00
"KC10084","KC10084",NULL,NULL,NULL,"Y","Y","000001","awddocviewer","1","CB413568AE7AAB48E040DC0A1F8A4434",1,100000.00
"KC10085","KC10085",NULL,NULL,NULL,"Y","Y","000001","coiadmin","1","CB413568AE90AB48E040DC0A1F8A4434",1,100000.00
"KC10086","KC10086",NULL,NULL,NULL,"Y","Y","000001","coireviewer","1","CB413568AE9CAB48E040DC0A1F8A4434",1,100000.00
"KC10087","KC10087",NULL,NULL,NULL,"Y","Y","000001","coiuser","1","CB413568AEA5AB48E040DC0A1F8A4434",1,100000.00
"KC10088","KC10088",NULL,NULL,NULL,"Y","Y","000001","iacucadmin","1","CB413568AEC6AB48E040DC0A1F8A4434",1,100000.00
"KC10089","KC10089",NULL,NULL,NULL,"Y","Y","IN-CARD","iacucresearcher","1","CB413568AECDAB48E040DC0A1F8A4434",1,100000.00
"KC10090","KC10090",NULL,NULL,NULL,"Y","Y","IN-CARD","iacucaggregator","1","CB413568AED3AB48E040DC0A1F8A4434",1,100000.00
"KC10091","KC10091",NULL,NULL,NULL,"Y","Y","IN-CARD","iacucreviewer","1","CB413568AEDAAB48E040DC0A1F8A4434",1,100000.00
"KC10092","KC10092",NULL,NULL,NULL,"Y","Y","IN-CARD","iacucviewer","1","CB413568AEE0AB48E040DC0A1F8A4434",1,100000.00
"KC10093","KC10093",NULL,NULL,NULL,"Y","Y","IN-CARD","iacuccreate","1","CB413568AEE6AB48E040DC0A1F8A4434",1,100000.00
